,model,batch_size,epochs,dataset_size,time_to_train,time_to_retrain,time_to_predict,accuracy,name
444,RNN,128,1,55800,5.877612113952637,2.9454188346862793,1.7378952503204346,0.8772000074386597,Oliver
445,FNN,128,1,55800,4.419649600982666,3.2144036293029785,0.671318769454956,0.9182000160217285,Oliver
446,CNN,128,1,55800,4.9594762325286865,4.0000293254852295,0.9936721324920654,0.9718999862670898,Oliver
447,RNN,128,1,56400,6.22378134727478,3.1461434364318848,1.528398036956787,0.8610000014305115,Oliver
448,FNN,128,1,56400,4.606647491455078,3.364393472671509,0.7468528747558594,0.9107999801635742,Oliver
449,CNN,128,1,56400,5.362129211425781,3.8055012226104736,0.7509884834289551,0.9739999771118164,Oliver
450,RNN,128,1,57000,5.98764967918396,3.014085054397583,1.834770917892456,0.8841999769210815,Oliver
451,FNN,128,1,57000,4.746411085128784,3.3493990898132324,0.6887867450714111,0.9156000018119812,Oliver
452,CNN,128,1,57000,5.01752495765686,3.854964017868042,0.8303978443145752,0.9706000089645386,Oliver
453,RNN,128,1,57600,6.603454351425171,3.921621561050415,1.8706705570220947,0.8741000294685364,Oliver
454,FNN,128,1,57600,4.59631609916687,3.196302890777588,0.6056051254272461,0.9186999797821045,Oliver
455,CNN,128,1,57600,4.790449380874634,3.8568882942199707,0.7477507591247559,0.9717000126838684,Oliver
456,RNN,128,1,58200,5.705867767333984,3.10335373878479,1.5782794952392578,0.8641999959945679,Oliver
457,FNN,128,1,58200,4.5690460205078125,3.521693468093872,0.6640703678131104,0.9190000295639038,Oliver
458,CNN,128,1,58200,5.272069931030273,4.110745906829834,0.8433749675750732,0.9761000275611877,Oliver
459,RNN,128,1,58800,5.594677448272705,3.008141279220581,1.5306501388549805,0.910099983215332,Oliver
460,FNN,128,1,58800,4.624970197677612,3.4855382442474365,0.6849112510681152,0.9126999974250793,Oliver
461,CNN,128,1,58800,5.4587178230285645,4.448901176452637,0.7687273025512695,0.9739000201225281,Oliver
462,RNN,128,1,59400,5.789672613143921,2.941821575164795,1.3026337623596191,0.9120000004768372,Oliver
463,FNN,128,1,59400,4.58003306388855,3.479736566543579,0.9363899230957031,0.916100025177002,Oliver
464,CNN,128,1,59400,5.770840644836426,4.7301764488220215,0.7134346961975098,0.9728999733924866,Oliver
465,RNN,128,1,60000,5.231141805648804,2.883629083633423,1.8218464851379395,0.8712000250816345,Oliver
466,FNN,128,1,60000,4.525444030761719,3.4629645347595215,0.6700301170349121,0.9178000092506409,Oliver
467,CNN,128,1,60000,5.693793535232544,4.60382080078125,0.8983170986175537,0.9750999808311462,Oliver
468,RNN,128,1,60000,5.2064900398254395,6.527114391326904,35.07610630989075,0.8981000185012817,Oliver
469,FNN,128,1,60000,14.96591067314148,13.996882677078247,1.3364171981811523,0.9175999760627747,Oliver
470,CNN,128,1,60000,8.28974461555481,6.969097852706909,0.971851110458374,0.9753999710083008,Oliver
471,RNN,128,1,60000,8.925288915634155,6.3433802127838135,1.4643988609313965,0.8754000067710876,Oliver
472,FNN,128,1,60000,14.386350154876709,13.361687660217285,1.3617053031921387,0.9189000129699707,Oliver
473,CNN,128,1,60000,8.163701057434082,6.417093992233276,0.9434795379638672,0.9733999967575073,Oliver
474,RNN,128,1,60000,8.704394102096558,6.141110420227051,1.348766565322876,0.8919000029563904,Oliver
475,FNN,128,1,60000,13.783154249191284,12.698072671890259,1.2489871978759766,0.9136000275611877,Oliver
476,CNN,128,1,60000,7.813363790512085,6.50835657119751,0.8824324607849121,0.9735999703407288,Oliver
477,RNN,128,1,60000,8.913986682891846,6.56098198890686,1.3088183403015137,0.8783000111579895,Oliver
478,FNN,128,1,60000,13.587427616119385,12.252889394760132,1.1355762481689453,0.9122999906539917,Oliver
479,CNN,128,1,60000,7.322501182556152,6.7137510776519775,0.9238677024841309,0.9725000262260437,Oliver
480,RNN,128,1,15000,3.92891526222229,1.5956251621246338,1.3174185752868652,0.6718999743461609,Oliver
481,FNN,128,1,15000,4.070017337799072,3.040522813796997,1.1118903160095215,0.8971999883651733,Oliver
482,CNN,128,1,15000,2.587561845779419,1.7681934833526611,1.0031275749206543,0.9343000054359436,Oliver
483,RNN,128,1,15600,4.139455556869507,1.6257340908050537,1.3142361640930176,0.644599974155426,Oliver
484,FNN,128,1,15600,4.0436670780181885,3.037628173828125,1.0712177753448486,0.8901000022888184,Oliver
485,CNN,128,1,15600,2.933274030685425,1.7424311637878418,0.8486895561218262,0.9301999807357788,Oliver
486,RNN,128,1,16200,4.161417245864868,1.6274528503417969,1.2927677631378174,0.794700026512146,Oliver
487,FNN,128,1,16200,4.0417091846466064,3.019937515258789,1.0997436046600342,0.8880000114440918,Oliver
488,CNN,128,1,16200,2.5594754219055176,1.9681634902954102,0.9134585857391357,0.9387999773025513,Oliver
489,RNN,128,1,16800,4.146283864974976,1.6220297813415527,1.2161169052124023,0.6747000217437744,Oliver
490,FNN,128,1,16800,3.925799608230591,3.0784828662872314,1.055603265762329,0.8776999711990356,Oliver
