,model,batch_size,epochs,dataset_size,time_to_train,time_to_retrain,time_to_predict,accuracy,name
77,CNN,128,1,30000,6.468018293380737,1.5005571842193604,1.3293890953063965,0.9606000185012817,T4 GPU
78,RNN,128,1,30600,12.605163335800171,1.526968240737915,2.636526584625244,0.8009999990463257,T4 GPU
79,FNN,128,1,30600,6.349765062332153,1.5451998710632324,1.3776860237121582,0.9021999835968018,T4 GPU
80,CNN,128,1,30600,6.3542704582214355,1.5244238376617432,1.3573496341705322,0.9614999890327454,T4 GPU
81,RNN,128,1,31200,12.74223780632019,1.2873413562774658,2.1456761360168457,0.8633999824523926,T4 GPU
82,FNN,128,1,31200,7.691846132278442,1.0975754261016846,1.3639905452728271,0.9053000211715698,T4 GPU
83,CNN,128,1,31200,11.539515495300293,1.3220467567443848,1.3400046825408936,0.9603999853134155,T4 GPU
84,RNN,128,1,31800,13.345750331878662,1.2835240364074707,2.6184866428375244,0.79830002784729,T4 GPU
85,FNN,128,1,31800,6.371588945388794,1.514214277267456,1.353445053100586,0.9045000076293945,T4 GPU
86,CNN,128,1,31800,6.435924530029297,1.2607593536376953,0.9677577018737793,0.9621000289916992,T4 GPU
87,RNN,128,1,32400,12.687193155288696,1.3503992557525635,2.1244699954986572,0.8073999881744385,T4 GPU
88,FNN,128,1,32400,6.761093378067017,1.0906853675842285,0.8917379379272461,0.9083999991416931,T4 GPU
89,CNN,128,1,32400,6.85214638710022,1.5205795764923096,0.9918420314788818,0.9603000283241272,T4 GPU
90,RNN,128,1,33000,9.161705732345581,1.3481404781341553,2.0701024532318115,0.8331999778747559,T4 GPU
91,FNN,128,1,33000,5.734544515609741,1.5102503299713135,1.327528715133667,0.9090999960899353,T4 GPU
92,CNN,128,1,33000,6.733841180801392,1.2612895965576172,0.9369266033172607,0.9616000056266785,T4 GPU
93,RNN,128,1,33600,9.355060338973999,1.5214531421661377,2.114133358001709,0.8374999761581421,T4 GPU
94,FNN,128,1,33600,5.69516921043396,1.238168478012085,0.9038121700286865,0.9107000231742859,T4 GPU
95,CNN,128,1,33600,6.40885066986084,1.528578281402588,1.2448210716247559,0.9624999761581421,T4 GPU
96,RNN,128,1,34200,12.640562057495117,1.4327950477600098,2.6439170837402344,0.8622999787330627,T4 GPU
97,FNN,128,1,34200,6.864489793777466,1.534674882888794,0.8785867691040039,0.9010000228881836,T4 GPU
98,CNN,128,1,34200,6.421671628952026,1.3146038055419922,1.0025477409362793,0.9599999785423279,T4 GPU
99,RNN,128,1,34800,8.723769903182983,1.4758579730987549,2.11598539352417,0.8513000011444092,T4 GPU
100,FNN,128,1,34800,7.46869969367981,1.5944468975067139,1.3710594177246094,0.90420001745224,T4 GPU
101,CNN,128,1,34800,6.495856523513794,1.4264676570892334,1.361828327178955,0.9646999835968018,T4 GPU
