,model,batch_size,epochs,dataset_size,time_to_train,time_to_retrain,time_to_predict,accuracy,name
24,RNN,128,1,19800,3.997262716293335,1.2592923641204834,1.4470453262329102,0.7724999785423279,Philippa
25,FNN,128,1,19800,4.98703408241272,3.751559019088745,0.9619629383087158,0.8984000086784363,Philippa
26,CNN,128,1,19800,7.9025256633758545,4.556659460067749,1.2903316020965576,0.9488999843597412,Philippa
27,RNN,128,1,20400,4.071110725402832,1.3215258121490479,1.4063968658447266,0.8194000124931335,Philippa
28,FNN,128,1,20400,6.215790271759033,4.072862863540649,0.9700109958648682,0.8942000269889832,Philippa
29,CNN,128,1,20400,6.094790697097778,4.844923496246338,1.2701222896575928,0.9501000046730042,Philippa
30,RNN,128,1,21000,4.0841734409332275,1.403681993484497,1.3561344146728516,0.7560999989509583,Philippa
31,FNN,128,1,21000,5.250162363052368,3.8876311779022217,0.899728536605835,0.8618000149726868,Philippa
32,CNN,128,1,21000,5.959471940994263,4.752285957336426,1.2826778888702393,0.9508000016212463,Philippa
33,RNN,128,1,21600,3.9420711994171143,1.3667047023773193,1.4097726345062256,0.795199990272522,Philippa
34,FNN,128,1,21600,5.300583600997925,4.116819381713867,0.9064350128173828,0.8744999766349792,Philippa
35,CNN,128,1,21600,6.158346652984619,5.802264928817749,1.249936819076538,0.9513000249862671,Philippa
36,RNN,128,1,22200,5.374898433685303,1.4374079704284668,1.7578861713409424,0.803600013256073,Philippa
37,FNN,128,1,22200,5.593664169311523,4.256101131439209,0.9343039989471436,0.8898000121116638,Philippa
38,CNN,128,1,22200,7.681658744812012,5.638422250747681,1.7919492721557617,0.949999988079071,Philippa
39,RNN,128,1,22800,4.396375417709351,1.3602726459503174,1.401313304901123,0.7781999707221985,Philippa
40,FNN,128,1,22800,5.6330726146698,4.281147480010986,0.9804024696350098,0.870199978351593,Philippa
41,CNN,128,1,22800,7.009295463562012,5.633616924285889,1.497983694076538,0.9474999904632568,Philippa
42,RNN,128,1,23400,4.64504861831665,1.4306082725524902,1.4280545711517334,0.7576000094413757,Philippa
43,FNN,128,1,23400,6.121378660202026,4.938277244567871,1.1871740818023682,0.8992999792098999,Philippa
44,CNN,128,1,23400,6.987089395523071,5.776709794998169,1.563056230545044,0.955299973487854,Philippa
45,RNN,128,1,24000,4.443296432495117,1.4960196018218994,1.3505399227142334,0.7991999983787537,Philippa
46,FNN,128,1,24000,5.886859655380249,4.548202037811279,1.0380685329437256,0.9006999731063843,Philippa
47,CNN,128,1,24000,9.01059603691101,5.570552349090576,1.2734389305114746,0.9539999961853027,Philippa
48,RNN,128,1,24600,4.2121617794036865,1.5883142948150635,1.347801685333252,0.8276000022888184,Philippa
49,FNN,128,1,24600,5.838017463684082,4.796759366989136,0.9176661968231201,0.9014000296592712,Philippa
50,CNN,128,1,24600,6.8979527950286865,5.514901638031006,1.2554066181182861,0.9519000053405762,Philippa
51,RNN,128,1,25200,4.241877555847168,1.6842145919799805,1.320685863494873,0.8360999822616577,Philippa
52,FNN,128,1,25200,5.955071687698364,4.614618301391602,0.9109976291656494,0.9017000198364258,Philippa
53,CNN,128,1,25200,6.979732513427734,5.609430313110352,1.2571101188659668,0.9574999809265137,Philippa
54,RNN,128,1,25800,4.24346923828125,1.5810112953186035,1.3172495365142822,0.8068000078201294,Philippa
55,FNN,128,1,25800,6.089267253875732,5.959017038345337,1.109462022781372,0.8873999714851379,Philippa
56,CNN,128,1,25800,7.469547510147095,6.28582763671875,1.2539021968841553,0.9570000171661377,Philippa
57,RNN,128,1,26400,4.430832386016846,1.6557338237762451,2.1060101985931396,0.807699978351593,Philippa
58,FNN,128,1,26400,6.3542256355285645,4.861459970474243,0.9117038249969482,0.9014000296592712,Philippa
